en	phonetic	cn	example	exampleCn	synonym	root
await	/əˈwet/	vt. 等候； 期待； 将降临到…身上	Several men are awaiting trial for robbery.	几个人因抢劫正在候审。	同义：wait for, hope for	
sin	/sɪn/	vi. 犯戒律， 犯过失 n. 罪，罪孽	The Spanish Inquisition charged him with sinning against God and man.	西班牙宗教法庭指控他违背了上帝和人类的律法。	同义：error, evil, crime, mistake	同根：sinful 有罪的；sinless 无罪的；清白的；sinner 罪人；有错者
client	/ˈklaɪənt/	n. 委托人， 当事人， 顾客	a meeting with an important client	与一位重要客户的会面	同义：customer, consumer, principal, guest	同根：clientele 客户；诉讼委托人
prosperity	/prɑˈspɛrəti/	n. 繁荣， 兴旺	a time of economic prosperity	经济繁荣时期	同义：success, victory, winning, up	同根：prosperous 繁荣的；兴旺的；prosperously 繁荣地；幸运地；prosper 繁荣，昌盛；成功
contrary	/ˈkɑntrɛri/	adj. 相反的 n. 相反	Two contrary views emerged.	出现了两种相反的观点。	同义：opposite, adverse, counter, against	同根：contrarious 对抗的；作对的；contrarily 相反地；反之；反对地；contrariwise 反之，相反；顽固地
lump	/lʌmp/	v. 结块； 将…归并在一起 n. 块，肿块	Strain the custard to remove lumps.	滤去牛奶蛋糊里的面块。	同义：piece, block, tumor, mass	同根：lumpy 粗笨的；波浪起伏的；多块状物的；lumpish 笨重的，笨拙的；沉闷的；lumper 码头工人；装卸工；小承包商
brilliant	/ˈbrɪljənt/	adj. 光辉的； 卓越的	She closed her eyes against the brilliant light .	强烈的光线下，她闭起了眼睛。	同义：excellent, prominent, outstanding, splendid	同根：brilliantly 灿烂地；辉煌地；光亮地；brilliance 光辉；才华；宏伟；brilliancy 光辉；耀度；宝石光
historic	/hɪˈstɔrɪk/	adj. 历史上著名的， 具有重大历史意义的	a historic meeting of world leaders	具有历史意义的世界领导人会议		同根：historical 历史的；史学的；基于史实的；historied 有历史的；史上所载的；historically 历史上地；从历史观点上说
oven	/ˈʌvən/	n. 炉， 烤箱	Preheat the oven to 200 degrees C.	把烤箱预热至200摄氏度。	同义：furance, kiln	同根：ovenware 烤箱器皿
bound	/baʊnd/	vi. 跳跃；弹回，反跃 adj. 一定的；有义务的 vt. 跳跃；弹回，反跃；成为…的界限，给…划界 n. 跳跃； 界限， 限制			同义：controlled, liable, chain, jump	同根：bounded 有界限的；boundless 无限的；无边无际的；bouncing 跳跃的；巨大的；活泼的
counter	/ˈkaʊntɚ/	n. 柜台； 计数器； 筹码	He wondered if the girl behind the counter recognised him.	他在想柜台后面的那个女孩是否认出了他。	同义：arithmometer, counting machine, contrary, backward	同根：countless 无数的；数不尽的；countable 可计算的；能算的；counteractive 反作用的；抵抗的；反对的
rhythm	/ˈrɪðəm/	n. 韵律， 节奏	Drums are basic to African rhythm.	非洲音乐节奏少不了鼓。	同义：meter, cadence	同根：rhythmic [生物] 有节奏的（等于rhythmical）；间歇的；合拍的；rhythmical 有节奏的；有韵律的；rhythmically 有节奏地
stroke	/strok/	n. 中风；一举，一次努力；划桨，划水；击，敲；报时的钟声；笔画，一笔；抚摸 vt. 抚摸	She died following a massive stroke.	她重度中风后去世了。	同义：blow, shock, experiment, go	同根：stroking 扩程；按抚法；stroking 击，打；（用笔等）画；划掉（stroke的ing形式）
breed	/brid/	v. 繁殖； 养育， 培育； 酿成， 产生 n. 品种	Eagles breed during the cooler months of the year.	鹰在一年中较凉爽的季节交配繁殖。	同义：increase, result, attract, keep	同根：breeding 繁殖；饲养；教养；再生；breeder 饲养员；繁殖者；起因；增殖反应堆；breeding 生产；培育；使…繁殖（breed的ing形式）
management	/ˈmænɪdʒmənt/	n. 管理； 处理； 管理部门； 管理人员	a lack of management skills	缺乏管理技巧	同义：governance, supervision, regulation, control	同根：managerial [管理] 管理的；经理的；manageable 易管理的；易控制的；易办的；manager 经理；管理人员
publish	/ˈpʌblɪʃ/	vt. 公布， 发表； 出版， 刊印	The first edition was published in 1765.	第一版于1765年出版。	同义：deliver, post, print, bring out	同根：publishing 出版的；出版业的；publishable 可出版的；可发表的；publication 出版；出版物；发表
realm	/rɛlm/	n. 界， 领域， 范围； 王国， 国度	the spiritual realm	精神领域	同义：domain, territory, kingdom, province	
correspondent	/,kɔrəˈspɑndənt/	n. 通讯员， 记者	Our correspondent in South Africa sent this report.	我们的驻南非记者发来这份报道。	同义：client server software, client server relationship	同根：corresponding 相当的，相应的；一致的；通信的；correspondence 通信；一致；相当；corresponding 类似（correspond的ing形式）；相配
renew	/rɪˈnʊ/	v. 重新开始， 继续； 更新； 恢复； 延长有效期	Local people have renewed their efforts to save the school.	当地居民再一次作出努力，挽救这所学校。	同义：reiterate, reaffirm, to update, start over	同根：renewable 可再生的；可更新的；可继续的；renewed 更新的；复兴的；重建的；renewal 更新，恢复；复兴；补充；革新；续借；重申
bid	/bɪd/	n. 企图，努力；喊价，出价，投标 vt. 喊价， 投标， 出； 祝， 表示； 命令	the person who places the highest bid	出价最高的人	同义：tell, tender for, tender for, offer	同根：biddable 顺从的；可叫牌的；bidding 投标；出价；命令；bidder 投标人；出价人；命令者
prompt	/prɑmpt/	adj. 敏捷的，及时的 vt. 促使，推动；提示 n. 提示台词， 提示	Prompt action must be taken.	必须立即采取行动。	同义：rapid, fast, fly, forward	同根：promptly 迅速地；立即地；敏捷地；prompting 激励；提示；刺激；promptness 机敏，敏捷；迅速
astonish	/əˈstɑnɪʃ/	vt. 使惊讶， 使吃惊	Her reply astonished me.	她的回答让我大吃一惊。	同义：emmarvel, gast	同根：astonishing 惊人的；令人惊讶的；astonishingly 令人惊讶地；astonishment 惊讶；令人惊讶的事物
comprehensive	/ˌkɑːmprɪˈhensɪv/	adj. 广泛的， 综合的； 理解的	We offer our customers a comprehensive range of financial products.	我们为客户提供全面的金融产品。	同义：extensive, integrated, synthetic, widespread	同根：comprehensible 可理解的；comprehensively 包括地；包括一切地；comprehension 理解；包含
tunnel	/ˈtʌnl/	v. 挖， 开 n. 隧道，坑道，地道	The thieves tunnelled under all the security devices.	小偷们在所有的那些安全装置下面都挖了地道。	同义：tube, cuniculus, dig	
withdraw	/wɪðˈdrɔ/	v. 收回， 撤回； 撤退	calls for Britain to withdraw from the European Union	要求英国退出欧盟的呼声	同义：beat a retreat, bug out, leave, split	同根：withdrawn 偏僻的；沉默寡言的；孤独的；withdrawable 可抽出的；可更换的；可拆卸的；能够提取的；withdrawal 撤退，收回；提款；取消；退股
elaborate	/ɪˈlæbəret/	adj. 复杂的； 精心制作的 v. 详述， 详细制订	pure silks embroidered with elaborate patterns	绣有精美图案的真丝衣服	同义：detailed, full, tailor-make, thicken	同根：elaborately 精巧地；苦心经营地；elaboration 苦心经营，精巧；详细阐述；elaborateness 尽心竭力
feather	/ˈfɛðɚ/	n. 羽毛， 翎毛	an ostrich feather	一根鸵鸟羽毛	同义：plume, plume, fledge	同根：feathered 有羽毛的；羽状的；飞速的；薄边的；feathery 柔软如羽毛的；生有羽毛的；featherless 无羽毛的
corridor	/ˈkɔrɪdɔr/	n. 走廊， 回廊， 通路	Go down here and the bathroom’s at the end of the corridor.	沿着这儿走，浴室就在走廊的尽头。	同义：hall, passage, gallery, verandah	
expert	/ˈɛkspɝt/	adj. 熟练的 n. 专家	...a yoga expert.	…一位瑜伽专家。	同义：skilled, accomplished, clever, diplomatic	同根：expertly 熟练地；巧妙地；expertise 专门知识；专门技术；专家的意见；expertness 专门性；专业性
select	/səˈlɛkt/	adj. 精选的， 挑选出来的； 优等的， 第一流的 vt. 选择，挑选	The party was small and select.	团里人员不多，都是经过精心挑选的。	同义：pack, choose from, wonderful, excellent	同根：selective 选择性的；selected 挑选出来的；selectively 有选择地
fulfill	/fulˈfɪl/	vt. 履行， 实现， 完成； 满足， 使满意			同义：accomplish, carry out, come true, implement	同根：fulfillment 履行；实行；fulfilment 实现；成就
crowd	/kraʊd/	v. 聚集； 挤满； 挤； 推 n. 群，一批	Holidaymakers crowded the beaches.	海滩上挤满了度假者。	同义：burst at the seams, be packed with, lot, band	同根：crowded 拥挤的；塞满的；crowded 拥挤（crowd的过去分词）
congress	/ˈkɑŋɡrəs/	n. 代表大会； [C-]国会， 议会	a congress of the ruling Labor Party	执政党工党的代表大会	同义：session, conversation, meeting, parliament	同根：congressional 国会的；会议的；议会的；congressman 国会议员；众议院议员；congresswoman （美）国会女议员；众议院女议员
advanced	/ədˈvænst/	adj. 先进的； 高级的； 年迈的； 后阶段的	advanced weapon systems	先进的武器系统	同义：senior, aged, high, old	同根：advance 预先的；先行的；advancing 前进的；年长的；advance 发展；前进；增长；预付款
mechanical	/mɪˈkænɪkəl/	adj. 机械的， 机械制造的； 机械学的， 力学的； 呆板的	The flight has been cancelled due to mechanical failure .	因机械故障航班被取消了。	同义：wooden, automatic, dead	同根：mechanic 手工的；mechanistic 机械论的；机械学的；mechanized 机械化的；呆板的
recommendation	/,rɛkəmɛnˈdeʃən/	n. 推荐， 推荐信； 建议； 优点， 可取之处	We will review the case and make a recommendation to the client.	我们将审查此案，然后向当事人提出建议。	同义：suggestion, advice, proposal, instance	同根：recommend 推荐；建议；recommend 推荐，介绍；劝告；使受欢迎；托付
welfare	/ˈwɛlˈfɛr/	n. 幸福； 福利， 福利救济	Our only concern is the children’s welfare.	我们唯一关心的是孩子们的幸福。	同义：happiness, weal	
flourish	/ˈflɜːrɪʃ/	vi. 繁荣，茂盛，兴旺 vt. 挥动	The economy is booming and small businesses are flourishing.	经济繁荣，小企业蒸蒸日上。	同义：health, display, air, sport	同根：flourishing 繁荣的；繁茂的；盛行的；flour 面粉；粉状物质；flourishing 茂盛（flourish的ing形式）
output	/ˈaʊtpʊt/	n. 产量；输出；输出功率 vt. 输出	Output is up 30% on last year.	产量比去年提高了30%。	同义：export, crop, harvest, yield	
fatigue	/fəˈtig/	v. 疲劳 n. 疲劳，劳累	She hoped to sleep off her fatigue.	她希望睡一觉之后会消除疲劳。	同义：tiredness, weariness, wear down, tire	同根：fatigued 疲乏的；fatigability 易疲劳性
striking	/ˈstraɪkɪŋ/	adj. 显著的， 突出的； 惹人注目的， 容貌出众的	a dark man with striking features	相貌出众、肤色黝黑的男子	同义：prominent, obvious, marked, tremendous	同根：struck 受罢工影响的；strikebound 因罢工而停顿的，因罢工而歇业的；strikingly 显著地；突出地，引人注目地
vessel	/ˈvɛsl/	n. 容器； 船； 飞船； 管	a fishing vessel	渔船	同义：container, ship, pocket	
majority	/məˈdʒɔrəti/	n. 多数， 大多数	The Labour Party won a huge majority at the last general election.	工党在上次大选中以巨大的票数优势获胜。	同义：plurality, multitude	同根：major 主要的；重要的；主修的；较多的；major [人类] 成年人；主修科目；陆军少校；major 主修
crown	/kraʊn/	n. 王冠， 冕	...a crown of flowers.	…一个花冠。	同义：height, sky, summit, peak	同根：crowned 王室的；戴王冠的；crowning 最高的；无比的；crowning 加冕
likely	/ˈlaɪkli/	adv. 可能 adj. 可能的；适合的	‘He said you’d be giving them a lift.’ ‘Not likely!’	“他说你会让他们搭便车。”“才不呢！”	同义：applicable, becoming, shaped, possible	同根：like 同样的；相似的；likable 可爱的；likeable 令人喜爱的，可爱的（等于likable）
inquire	/ɪnˈkwaɪr/	v. 打听， 询问； 调查	‘Why are you doing that?’ the boy inquired.	“你为什么这么做？”男孩问道。	同义：question, query, question, query	同根：inquiring 询问的；打听的；爱追究的；inquirer 调查者；询问者；inquiring 调查（inquire的ing形式）；打听
gymnasium	/dʒɪmˈnezɪəm/	n. 体育馆， 健身房	I stood in the packed gymnasium, in a crowd of anxious spouses, children and relatives.	我站在拥挤的体育馆，站在急切配偶的人群中，有子女和亲属。	同义：gym, sports palace	同根：gymnastic 体操的，体育的；gymnastics 体操；体育；体操运动
issue	/ˈɪʃu/	v. 发行， 分发， 发出 n. 问题；发行，分发	Silva issued a statement denying all knowledge of the affair.	西尔瓦发表声明，宣称对此事一无所知。	同义：question, flux, discharge, exhaust	同根：issuer 发行人；issuance 发布，发行；issuing 发行物；争论点；期刊号
vain	/ven/	adj. 徒劳的； 自负的	Men can be just as vain as women.	男人有时会和女人一样虚荣。	同义：empty, blank	同根：vainglorious 虚荣心强的；非常自负的；vainly 徒劳地；无益地；枉然地；vainglory 虚荣；自负
lower	/ˈloɚ/	adj. 较低的；下面的 vt. 放下， 降低	Nina chewed her lower lip anxiously.	尼娜焦虑不安地咬着下唇。	同义：take the edge off, feather out, bring down, play down	同根：lowering 使低劣的；昏暗的；减少体力的；lowermost 最低的；最底下的
index	/ˈɪndɛks/	n. 索引； 指数， 指标	...the consumer price index.	…消费价格指数。	同义：finger, indicatrix, to point out, to indicate	同根：indexical 像索引排列的；索引的；indexless 无索引的；indexer 编索引的人；分度器
fry	/fraɪ/	vt. 油煎， 油炸， 油炒	Fry the potatoes, covered, for about 20 minutes.	盖上盖，将马铃薯煎20分钟左右。	同义：deep-fry, panbroil, deepfry	同根：fried 油炸的，油煎的；喝醉了的；frying 油炸，油煎；fryer 可供油炸的食品；油炸锅；做油煎食品的人
youngster	/ˈjʌŋstɚ/	n. 青年， 年轻人， 孩子	Other youngsters are not so lucky.	其他的年轻人没有这么幸运。	同义：young adult, stripling	同根：young 年轻的；初期的；没有经验的；younger 较年轻的；youngish 还年轻的，颇年轻的
odd	/ɑd/	adj. 奇特的； 临时的； 奇数的； 单只的； 剩余的， 挂零的	It was an odd thing to say.	这话说得很奇怪。	同义：remaining, extraordinary, temporary, surplus	同根：oddish 有点怪的；oddly 古怪地；奇妙地；单数地；oddity 奇异；古怪；怪癖
lung	/lʌŋ/	n. 肺	Smoking can cause lung cancer.	吸烟会引起肺癌。	同义：breathing apparatus, respirator	同根：lunger 肺结核患者
conservation	/,kɑnsɚˈveʃən/	n. 保存； 保护； 守恒	wildlife conservation	野生生物保护	同义：preservation, protection, maintenance, lee	同根：conservative 保守的；conservatory 有保存力的；保存性的；conserved 保守的
distraction	/dɪˈstrækʃən/	n. 分心的事； 心烦意乱； 精神错乱； 娱乐， 消遣	I study in the library as there are too many distractions at home.	我在图书馆学习，家里分心的事太多。	同义：entertainment, occupation, recreation, relaxation	同根：distracted 心烦意乱的；思想不集中的；distractedly 心烦意乱地；distracted 分心（distract的过去式）
supplement	/ˈsʌplɪmənt/	n. 增补， 补充； 增刊， 副刊 vt. 增补， 补充	vitamins and other dietary supplements	各种维生素和其他膳食补充剂	同义：recruitment, renewal, to replenish, eke	同根：supplementary 补充的；追加的；supplemental 补充的（等于supplementary）；追加的；supplementary 补充者；增补物
contrast	/ˈkɑntræst/	vi. 形成对比， 对比之下显出区别 n. 对比， 对照； 反差 vt. 对比，对照	an essay comparing and contrasting (= showing how two things are similar and different ) Verdi and Wagner and their operas	把威尔第和瓦格纳以及他们的歌剧进行比较和对照的一篇文章	同义：parallel, distinction, differential	同根：contrastive 对比的；contrasty 硬调的，明暗差别强烈的
paragraph	/ˈpærəɡræf/	n. 段， 节	the opening paragraphs of the novel	小说开篇的几个段落		同根：paragrapher 短评记者
judgement	/ˈdʒʌdʒmənt/	n. 意见； 审判； 判断			同义：opinion, appraisal, evaluation, comment	同根：judicial 公正的，明断的；法庭的；审判上的；judging 决断型；judgmental 审判的
proportion	/prəˈpɔrʃən/	n. 比例； 部分， 份儿； 均衡， 相称	A large proportion of the dolphins in that area will eventually die.	那个地区的很大一部分海豚最终都会死去。	同义：ratio, area, equilibrium, scale	同根：proportional 比例的，成比例的；相称的，均衡的；proportionate 成比例的；相称的；适当的；proportionable 成比例的；相称的；均衡的
widen	/ˈwaɪdn/	v. 加宽， 变宽	They’re widening the road.	他们正在拓宽马路。	同义：broaden	同根：wide 广泛的；宽的，广阔的；张大的；远离目标的；widish 稍宽的；较广的；wide 广泛地；广阔地；充分地
crystal	/ˈkrɪstl/	n. 水晶， 结晶体， 晶粒	a set of six crystal glasses	六件套水晶玻璃杯	同义：Irish diamond, transparent, liquid, clear	同根：crystalline 透明的；水晶般的；水晶制的；crystallized 裹有糖霜的；蜜饯的；crystallization 结晶化；具体化
occurrence	/əˈkʌrəns/	n. 发生， 出现； 发生的事件	Complaints seemed to be an everyday occurrence.	投诉似乎成了天天发生的事。	同义：emergence, going on, event, discovery	同根：occurrent 正在发生的；偶然发生的；occur 发生；出现；存在
inflation	/ɪnˈfleʃən/	n. 通货膨胀； 膨胀	Inflation is now at over 16%.	通货膨胀率现已超过16%。	同义：expansion, bulking	同根：inflated 通货膨胀的；充了气的；价格飞涨的；（植物）肿胀的；inflatable 膨胀的，可充气的；得意的；inflationary 通货膨胀的；通货膨胀倾向的；通货膨胀引起的
thinking	/ˈθɪŋkɪŋ/	adj. 深思的， 有理性的 n. 想法，意见，见解	the thinking man’s pop band	有思想的男士喜欢的流行乐队	同义：ideological, noematic, idea, opinion	同根：think 思想的；thoughtful 深思的；体贴的；关切的；thoughtless 轻率的；欠考虑的；考虑不周的；不顾及他人的
disposal	/dɪˈspozl/	n. 丢掉， 销毁； 处理； 排列， 布置	bomb disposal experts	拆弹专家	同义：transactions, settlement, treating, handling	同根：disposable 可任意处理的；可自由使用的；用完即可丢弃的；disposed 有…倾向的；打算做…的；有某种健康状态的；dispose 处置；性情
settlement	/ˈsɛtlmənt/	n. 解决； 协议； 居留地	Union leaders and company bosses will meet tomorrow in an attempt to reach a settlement .	工会领导人和公司老板将于明天举行会议以期达成协议。	同义：transactions, disposal, resolution, treatment	同根：settled 稳定的；固定的；settle 有背长椅；settler 移居者；殖民者
delegate	/ˈdɛləgɪt/	n. 代表， 代表团成员 vt. 委派…为代表； 授 ， 把…委托给	Around 350 delegates attended the conference.	大约有350名代表参加了大会。	同义：representation, deputy, behalf of, ambassador	同根：delegating 授权的；delegation 代表团；授权；委托；delegating 授权；委派；授权式
literature	/lɪtərəˌtʃʊr/	n. 文学， 文学作品； 文献， 图书资料	He has read many of the major works of literature.	他读过许多重要的文学作品。	同义：writing, letter	同根：literary 文学的；书面的；精通文学的；literate 受过教育的；精通文学的；literacy 读写能力；精通文学
sphere	/sfɪr/	n. 球， 球体； 范围	Because the earth spins, it is not a perfect sphere.	因为地球旋转，所以它不是个完完全全的球体。	同义：extent, boundary, region, scope	同根：spherical 球形的，球面的；天体的；spheroidal 类似球体的，球状的；sphericity [数] 球形；球面
inquiry	/ɪnˈkwaɪri/	n. 询问， 打听； 调查	I don’t know who sent the gift, but I’ll make some inquiries.	我不知道礼物是谁送的，但我会打听一下。	同义：investigation, exploration, probe, research	同根：inquiring 询问的；打听的；爱追究的；inquirer 调查者；询问者；inquiring 调查（inquire的ing形式）；打听
prejudice	/ˈprɛdʒədɪs/	n. 偏见，成见 vt. 使有偏见； 对…不利， 损害	Women still face prejudice in the workplace.	女性在职场中仍然面临歧视。	同义：violation, bias, hurt, blast	同根：prejudiced 怀偏见的；有成见的；偏颇的；prejudicial 不利的；有害的；引起偏见的；prejudication 判例；预断裁决
dissolve	/dɪˈzɑlv/	v. 溶解； 解散； 消失， 减弱； 结束	Stir until the sugar dissolves.	一直搅拌到糖溶解掉。	同义：hemolyze, haemolyze, melt, disappear	同根：dissolved 溶解的；溶化的；dissolving 消溶的；毁灭性的；dissolvable 可溶解的；可分解的；可解散的
digest	/daɪˈdʒɛst/	vt. 消化； 领会 n. 文摘； 摘要	Most babies can digest a wide range of food easily.	大多数婴儿能轻易地消化很多种食物。	同义：absorb, drink in, abstract, brief	同根：digestive 消化的；助消化的；digestible 易消化的；可摘要的；digestion 消化；领悟
immigrant	/ˈɪmɪɡrənt/	n. 移民， 侨民	an illegal immigrant	非法移民	同义：emigratory, migration, transplantation	同根：immigration 外来移民；移居；immigrate 移入；immigrate 使移居入境
tradition	/trəˈdɪʃən/	n. 传统， 惯例	the traditions of South East Asia	东南亚的传统	同义：convention, usage, heritage, tale	同根：traditional 传统的；惯例的；trad 传统的；traditionalist 传统主义者的（等于traditionalistic）
urgent	/ˈɝdʒənt/	adj. 紧急的， 急迫的	He was in urgent need of medical attention.	他急需治疗。	同义：emergency, instant	同根：urgently 迫切地；紧急地；急切地；urgency 紧急；催促；紧急的事
belief	/bɪˈlif/	n. 信任， 相信； 信念	When you get something wrong, it can shake your belief in yourself.	如果有什么事情没做好，就会动摇你对自己的信心。	同义：faith, teaching, trust, doctrine	同根：believing 有信仰的；信任他人的；believer 信徒；相信...者；believing 相信（believe的ing形式）；认为
bundle	/ˈbʌndl/	n. 捆，包，束；包袱 vt. 收集， 归拢； 把…塞入	a small bundle containing mostly clothing	一个小包袱，里面主要是衣服	同义：tract, truss, rope, bolt out	同根：bundling 捆绑的；打包的；bundling 捆绑销售；捆扎；集束；bundling 包捆；把…撵走；归拢；匆忙地走（bundle的ing形式）
suggestion	/səˈdʒɛstʃən/	n. 建议， 意见； 细微的迹象； 暗示	Any suggestions would be welcome.	任何建议都欢迎。	同义：advice, proposal, instance, recommendation	同根：suggestive 暗示的；提示的；影射的；suggestible 可建议的；耳根软的；易受影响的；suggestively 提示地；引起联想地；暗示地
systematic	/ˈsɪstəˈmætɪk/	adj. 有系统的， 有计划的	They went about their business in a systematic way.	他们按部就班地做生意。	同义：scientific, classified	同根：systemic 系统的；全身的；体系的；systematized 系统化的；systematically 有系统地；有组织地
cupboard	/ˈkʌbɚd/	n. 柜橱； 碗碟橱， 食橱	It’s in the kitchen cupboard.	它在厨房的碗柜里。	同义：dresser, spense	
generally	/ˈdʒɛnrəli/	adv. 一般地， 通常地； 普遍地	It could be five years before the drug is generally available.	这种药可能还要过五年才能广泛投入市场。	同义：usually, mostly, commonly, currently	同根：general 一般的，普通的；综合的；大体的；generic 类的；一般的；属的；非商标的；generalized 广义的，普遍的；无显著特点的
bacon	/ˈbekən/	n. 咸肉	bacon and eggs	咸猪肉煎蛋	同义：cured meat, salted meat	
likewise	/ˈlaɪkwaɪz/	adv. 同样地； 也， 又	Nanny put on a shawl and told the girls to do likewise.	南妮披上披肩，并叫女孩们也这样做。	同义：equally, too, similarly, also	同根：like 同样的；相似的；like 可能；like 好像
slender	/ˈslɛndɚ/	adj. 细长的， 苗条的； 微薄的， 不足的	She is slender and stylish.	她身材修长，穿着时髦。	同义：slight, spindly	同根：slenderly 苗条地；细长地；slenderness 细长；苗条；slenderize 使苗条；使成细长状
troublesome	/ˈtrʌblsəm/	adj. 令人烦恼的， 麻烦的	a troublesome child	烦人的孩子	同义：tight, evil, rank, unpleasant	同根：trouble 麻烦；烦恼；故障；动乱；troublemaker 捣乱者，闹事者；惹麻烦的人；troubleshooter 故障检修工；解决纠纷者；解决麻烦问题的能手
instruction	/ɪnˈstrʌkʃən/	n. 命令， 指示； 用法说明； 教学， 教导	Press ‘Enter’ and follow the on-screen instructions.	按回车键，然后按照电脑屏幕上的指示来操作。	同义：direction, order, bidding, word	同根：instructive 有益的；教育性的；instructional 教学的；指导的，教育的；instructively 有益地；教育地
oral	/ˈɔrəl/	adj. 口头的； 口的	oral history	口述的历史	同义：spoken, verbal, word-of-mouth, viva voce	同根：orally 口头上地；口述地
married	/ˈmærɪd/	adj. 已婚的； 婚姻的	Are you married or single?	你是已婚还是单身？	同义：marital, matrimonial	同根：marriageable 可结婚的，适合结婚的；marriage 结婚；婚姻生活；密切结合，合并；marriageability 结婚适龄；适合结婚
transaction	/trænˈzækʃən/	n. 办理， 处理； 交易， 业务； 会报， 学报	The bank charges a fixed rate for each transaction.	银行对每一笔业务收取固定费用。	同义：relations, trade, truck	同根：transactor 办理人；做交易的人；处理者；transact 交易；谈判；transact 办理；处理
conscious	/ˈkɑnʃəs/	adj. 意识到的， 自觉的； 神志清醒的； 有意的， 存心的	The driver was still conscious when the ambulance arrived.	救护车赶到时，司机仍然神志清醒。	同义：aware, intended, studied, designed	同根：consciously 自觉地；有意识地；consciousness 意识；知觉；觉悟；感觉
fur	/fɝ/	n. 软毛， 毛皮， 裘皮； 毛皮衣服	a fur coat	裘皮大衣	同义：down, tegument	同根：furry 毛皮的；盖着毛皮的；似毛皮的；furred 毛皮制的；穿毛皮的；长着软毛的；furring 镶边；毛皮衬里；钉板条
auto	/ˈɔto/	n. 汽车	imported autos	进口汽车	同义：car, motor, motor	同根：autocatalytic [物化] 自动催化的；autocatalysis 链式反应扩大；[物化] 自动催化作用
sigh	/saɪ/	vi. 叹气， 叹息 n. 叹息	‘Well, there’s nothing we can do about it now,’ she sighed.	“唉，我们现在对此无能为力。”她叹口气说。	同义：suspire, suspiration, suspire	
pants	/pænts/	n. 长裤， 便裤； 内裤	She was wearing dark blue pants and a white sweater.	她穿着深蓝色长裤和白色毛衣。	同义：britches, short trousers	
mislead	/ˈmɪsˈlid/	vt. 给…错误印象， 使误解； 把…带错路； 使误入歧途	Don’t be misled by appearances, he’s a good worker.	不要被表象迷惑，他工作干得挺不错的。	同义：misdirect, misguide	同根：misleading 令人误解的；引入歧途的；misleadingly 误导地；misleader 错误引导者；错误领导人
split	/splɪt/	v. 分裂，分离；被撕裂，裂开；分担，分享 n. 裂口	It was feared that the issue would split the church.	人们担心这一问题会导致教会分裂。	同义：leave, quit, leave, quit	同根：splitting 极快的；爆裂似的，剧烈的；滑稽的；splitter 分离机，分流器；分解器，拆分器；splitting 裂开（split的现在分词）
orchestra	/ˈɔrkɪstrə/	n. 管弦乐队	the Berlin Symphony Orchestra	柏林交响乐团		同根：orchestral 管弦乐的；管弦乐队的；orchestration 管弦乐编曲；和谐的结合；orchestrator 管弦乐演奏家；管弦乐编曲家
publication	/,pʌblɪˈkeʃən/	n. 出版， 发行； 公布， 发表	The guide is being translated into several languages for publication near Christmas.	这本指南正被翻译成好几种语言，准备在圣诞节前后出版。	同义：announcement	同根：public 公众的；政府的；公用的；公立的；publishing 出版的；出版业的；publishable 可出版的；可发表的
sufficient	/səˈfɪʃənt/	adj. 足够的， 充分的	We can only prosecute if there is sufficient evidence.	有了足够的证据，我们才能提出起诉。	同义：competent, plenty, wealthy	同根：sufficiently 充分地；足够地；suffice 足够；有能力；suffice 使满足；足够…用；合格
antique	/ænˈtik/	adj. 古时的， 过时的 n. 古物，古董	an antique rosewood desk	古董红木书桌	同义：ancient, old, curiosity, virtu	同根：antiquity 高龄；古物；古代的遗物
sow	/so/	v. 播， 播种	Sow the seeds in late March.	三月底播种。	同义：seed, distribute, spread, seed	同根：sower 播种者；播种机；煽动者
widespread	/ˈwʌɪdsprɛd/	adj. 分布广的， 普遍的	the widespread use of chemicals in agriculture	化学品在农业中的广泛使用	同义：extensive, universal, comprehensive, ruling	同根：widely 广泛地
petroleum	/pəˈtrolɪəm/	n. 石油	petroleum-based products	石油产品	同义：fossil oil, geoline	同根：petrochemical 石化的；petrochemical 石油化学产品
communication	/kə,mjunɪˈkeʃən/	n. 通讯， 交流， 交际； 通信工具， 交通联系	Good communication is vital in a large organization.	在大机构里良好的沟通是极为重要的。	同义：telecommunications, exchange	同根：communicating 交流的；通信的；communicative 交际的；爱说话的，健谈的；无隐讳交谈的；communicant 传达消息的
tolerance	/ˈtɑlərəns/	n. 忍受， 容忍， 忍耐力； 公差	...his tolerance and understanding of diverse human nature.	…他对各种人性的宽容和理解。	同义：patience, charity, mercy	同根：tolerant 宽容的；容忍的；有耐药力的；tolerable 可以的；可容忍的；tolerably 相当地；可容忍地；差不多地
kneel	/nil/	vi. 跪， 跪下， 跪着	Tom knelt down and patted the dog.	汤姆跪下来轻轻拍了拍那只狗。	同义：drop to one's knees, go down on one's knees	同根：kneeling 跪着，跪下；kneeler 跪者；跪台；跪拜者；跪垫；kneeling 跪着（kneel的ing形式）；跪下
porter	/ˈpɔrtɚ/	n. 搬运工人； 看门人， 大楼管理员	Our taxi pulled up at Old Delhi station and a porter sprinted to the door.	我们的出租车停在老德里车站，一个搬运工疾步跑向车门。	同义：waiter, concierge	同根：port 港口，口岸；（计算机的）端口；左舷；舱门；portal 大门，入口；portage 搬运；运输
