en	phonetic	cn	example	exampleCn	synonym	root
discipline	/ˈdɪsəplɪn/	n. 纪律，训练；惩罚；学科 vt.  训练； 惩罚， 处罚	The book gives parents advice on discipline.	这本书指导父母如何管教孩子。	同义：science, coach	同根：disciplinary  规律的；训练的；训诫的；disciplined  遵守纪律的；受过训练的；disciplinarian  纪律的；训练的
ponder	/ˈpɑndɚ/	v.  思索， 考虑， 沉思	He continued to ponder the problem as he walked home.	他一边往家走一边继续思考那个问题。	同义：mull over, allow	同根：ponderous  笨重的；沉闷的；呆板的；ponderable  有重量的；可称量的；有价值的；ponderable  值得考虑的事物
objective	/əbˈdʒɛktɪv/	adj.  客观的， 无偏见的 n. 目标，目的	Scientists need to be objective when doing research.	科学家做研究时要客观。	同义：impersonal, intention	同根：objectively  客观地；object  目标；物体；客体；宾语；objectivity  客观；客观性
exert	/ɪɡˈzɝt/	vt.  用， 尽； 运用， 行使	They exerted considerable influence within the school.	他们在校内施加了很大的影响力。	同义：handle	同根：exertion  发挥；运用；努力
scandal	/ˈskændl/	n.  丑事， 丑闻； 流言蜚语； 反感， 愤慨	It caused quite a scandal when he left his wife.	他离开妻子成了一大丑闻。	同义：tale	同根：scandalous  可耻的；诽谤性的；scandalously  过分地；诽谤性地；令人愤慨地；scandalmonger  专事诽谤的人；散布丑闻者
composite	/kɑmˈpɑzɪt/	adj. 混合成的，综合成的 n.  合成物； 复合材料	The author builds up a useful compo-site picture of contemporary consumer culture.	作者勾勒出了一幅实用的当代消费文化全景图。	同义：synthetic, synthetic, babelize	同根：composed  镇静的；沉着的；composing  起镇静作用的；compositional  组成的；创作的；作曲的
hinder	/ˈhɪndɚ/	vt.  阻碍， 妨碍	His career has been hindered by injury.	由于受伤，他的事业受到了阻碍。	同义：slow, latter	同根：hindermost  最后面的，最靠近后方的；hindmost  最后面的，最后部的；hindrance  障碍；妨碍；妨害；阻碍物
scent	/sɛnt/	n. 香味，气味；臭迹；踪迹，线索；香水 vt.  嗅到， 察觉	a yellow rose with a lovely scent	香气怡人的黄玫瑰	同义：smell, discover, show evidence of	同根：scented  有香味的；有气味的；洒了香水的；scentless  无气味的，无嗅觉的；遗臭已消失的；scented  嗅；使充满…气味；察觉（scent的过去分词）
estimate	/ˈɛstə,met/	vt.  估计； 评价 n.  估计； 评价； 看法	Try to estimate how many steps it will take to get to a close object.	估计一下需要多少步才能到达一个近距目标。	同义：evaluate, computation, measure	同根：estimable  可估计的；可尊敬的；有价值的；estimation  估计；尊重；estimator  [统计] 估计量；评价者
diploma	/dɪˈplomə/	n.  毕业文凭， 毕业证书， 资格证书	I’m hoping to get my teaching diploma this year.	我希望今年能拿到教师证书。	同义：graduation certificate	同根：diplomate  经考试或审查合格的专科医生；学位证书持有者
exhibit	/ɪɡˈzɪbɪt/	vt. 显示；陈列，展览 n.  展览品	Her paintings have been exhibited all over the world.	她的绘画作品在世界各地展出。	同义：introduce, proof	同根：exhibition  展览，显示；展览会；展览品；exhibitor  展出者；显示者；exhibitionist  裸露症患者；倾向自我宣传的人；喜欢出风头的人
brand	/brænd/	n. 商标，牌子 vt.  铭刻， 打烙印于； 加污名于， 谴责	products which lack a strong brand image	缺乏鲜明品牌形象的产品	同义：heart, logo	同根：branded  名牌商标的；打有烙印的；有斑纹的（等于brindled）；branding  品牌化，品牌术；branding  在…上加商标；使显得独一无二（brand的现在分词）
suspension	/səˈspɛnʃən/	n.  暂停， 中止； 暂令停止参加， 暂时剥夺； 悬架， 悬置机构； 悬浮液； 悬， 挂， 吊	He received a six-month suspension for unprofessional behaviour.	他因有违职业道德的行为被停职六个月。	同义：hang	同根：suspended  悬浮的；暂停的，缓期的（宣判）；suspenseful  悬疑的；令人紧张的；焦急不安的；suspensive  暂停的；悬而不决的；可疑的；暧昧的
alcohol	/ˈælkəhɔl/	n.  酒精， 乙醇	I don’t drink alcohol anymore.	我不再喝酒了。	同义：ethanol	同根：alcoholic  酒精的，含酒精的；alcoholic  酒鬼，酗酒者；alcoholism  酗酒；[内科] 酒精中毒
deny	/dɪˈnai/	vt.  否定， 拒绝相信	The government denied the existence of poverty among 16- and 17-year-olds.	政府否认十六七岁的青少年当中存在贫困问题。	同义：negative, object	同根：deniable  可否认的；可拒绝的；可否定的；denial  否认；拒绝；节制；背弃
trench	/trɛntʃ/	n.  沟， 沟渠	Workers dug a trench for gas lines.	工人们挖了一条沟来铺设煤气管道。	同义：sulcus, infringe upon	同根：trencher  木制食盘的；有关膳食的；trencher  挖沟者；木盘；战壕兵
subtract	/səbˈtrækt/	vt.  减， 减去； 去掉	Mandy subtracted the date of birth from the date of death.	曼迪从死亡的日期减去了出生的日期。	同义：substract	同根：subtractive  减去的；负的；有负号的；subtraction  [数] 减法；减少；差集；subtracter  [计] 减法器；扣除者
recreation	/,rɛkrɪˈeʃən/	n.  娱乐活动， 消遣	His only recreations are drinking beer and watching football.	他唯一的消遣就是喝啤酒和看足球比赛。	同义：entertainment	同根：recreational  娱乐的，消遣的；休养的；recreate  娱乐；消遣；recreate  再创造；使得到娱乐/消遣
frustration	/frʌˈstreʃən/	n.  挫败， 挫折， 受挫	People often feel a sense of frustration that they are not being promoted quickly enough.	人们经常有一种挫折感，就是觉得自己升职不够快。	同义：setback	同根：frustrate  挫败的；无益的；frustrated  失意的，挫败的；泄气的；frustrated  挫败；阻挠（frustrate的过去式和过去分词形式）
allowance	/əˈlaʊəns/	n.  津贴， 补贴； 零用钱	Sales staff get a generous mileage allowance or a company car.	销售人员有优厚的里程补贴或者公司提供的专用汽车。	同义：permission, ration	同根：allowable  许可的；正当的；可承认的；可获宽免；allowably  可容许地，不碍事地；allow  容许；考虑
hurricane	/ˈhʌrɪken/	n.  飓风	I still remember a hurricane that hit us thirty years ago.	我还记得三十年前袭击我们的一次飓风。	同义：cyclone	
hike	/haɪk/	vi. 徒步旅行 n. 徒步旅行；增加，上升 vt.  提高	He wants to hike round the world.	他打算徒步旅行环游世界一周。	同义：trip, enhance, walking tour	同根：hiking  徒步旅行；hiker  徒步旅行者
ancient	/ˈenʃənt/	adj.  古代的， 古老的； 年老的， 看上去很老的	the ancient civilizations of Asia	亚洲的古代文明	同义：old, elder	同根：anciently  以往，古代
mission	/ˈmɪʃən/	n.  使命， 任务； 使团	He was sent on over 200 missions before being killed in action.	在阵亡之前他奉命执行过200多次军事任务。	同义：role, send along	同根：missionary  传教的；传教士的；missionary  传教士；missioner  传教士，教区传教士
cognitive	/ˈkɑɡnətɪv/	adj.  认知的， 认识能力的	cognitive psychology	认知心理学	同义：recognitive	同根：cognizant  审理的；已认知的；cognizable  可认识的；可辨识的；可以审理的；cognoscible  可以认识到的；可辨识的
adopt	/əˈdɑpt/	vt.  收养； 采用， 采取； 正式通过， 批准	Sally was adopted when she was four.	莎莉四岁时被人收养。	同义：assume	同根：adopted  被收养的；被采用的；adoptive  采用的；有收养关系的；adoptable  可采用的；可收养的
expire	/ɪkˈspaɪɚ/	vi.  期满， 终止； 断气， 死亡	The chairman’s term of office has already expired.	主席任期已满。	同义：die, breathe out	同根：expired  过期的；失效的；expiratory  [生理] 呼气的；吐气的；expiry  满期，逾期；呼气；终结
smuggle	/ˈsmʌgl/	vt.  走私， 非法私运； 偷运， 偷带	My message is "If you try to smuggle drugs you are stupid."	我的讯息是，“你若企图走私毒品，那是犯傻。”		同根：smuggling  走私；smuggler  走私者；走私犯；[法] 走私船；smuggling  走私
hustle	/ˈhʌsl/	v. 催促，赶紧做；猛推，挤，强迫 n.  忙碌， 奔忙； 挤	We need to hustle if we’re going to make this flight.	要想搭乘这趟班机，我们得抓紧时间。	同义：crowd, make haste, push	同根：hustler  催促者；妓女；骗子
oppose	/əˈpoz/	vt.  反对， 反抗	Congress is continuing to oppose the President’s health care budget.	国会继续反对总统的医疗保健预算。	同义：combat, object	同根：opposite  相反的；对面的；对立的；opposed  相反的；敌对的；opposing  反对的；相对的；对面的
device	/dɪˈvaɪs/	n.  器械， 装置； 设计； 手段， 策略	modern labour-saving devices	省力的现代设备	同义：apparatus	
commentary	/ˈkɑməntɛri/	n.  实况报道， 解说词； 评论， 评论文章	Commentary is by Tom Ferris.	由汤姆•费里斯现场解说。	同义：notes	同根：comment  评论；意见；批评；commentator  评论员，解说员；实况播音员；时事评论者；comment  发表评论；发表意见
sue	/su/	v.  控告， 起诉； 要求， 请求	If the builders don’t fulfil their side of the contract, we’ll sue.	如果建筑商不履行合同，我们就要提出起诉。	同义：law, law	
conservative	/kənˈsɝvətɪv/	adj. 保守的，守旧的；不时兴的，传统的 n.  保守的人	a very conservative attitude to education	对待教育非常守旧的态度	同义：standpat, old guard	同根：conserved  保守的；conservatively  谨慎地；保存地；适当地；conservation  保存，保持；保护
belly	/ˈbɛli/	n.  肚子， 腹部	She laid her hands on her swollen belly.	她把手放在隆起的肚子上。	同义：stomach, summon up, plump	同根：bellied  大肚子的；有腹的；bellying  鼓起的；bell  铃，钟；钟声，铃声；钟状物
access	/ˈæksɛs/	n. 接近；通道，入口；接近的机会 vt.  存取	Access is by means of a small door on the right.	入口是右边的一扇小门。	同义：make use of, opening	同根：accessible  易接近的；可进入的；可理解的；accessibility  易接近；可亲；可以得到；accession  增加；就职；到达
conference	/ˈkɑnfərəns/	n.  会议， 讨论会； 讨论， 商谈	Representatives from over 100 countries attended the International Peace Conference in Geneva.	来自一百多个国家的代表出席了在日内瓦举行的国际和平大会。		同根：conferment  （学位、荣誉的）授予；给予；商量；conferee  参加会议者；confer  协商
primitive	/ˈprɪmətɪv/	adj. 原始的，早期的；简单的；粗糙的 n.  原人； 原始事物	a primitive society	原始社会	同义：original, Euroman	同根：primeval  原始的；初期的（等于primaeval）；primordial  原始的；根本的；原生的；primitively  最初地；自学而成地
knob	/nɑb/	n.  球形把手， 球形柄； 旋钮； 小块	He thought the door was locked, but he turned the knob and the door opened.	他本以为门是锁住的，但是转了一下把手门就开了。	同义：handle, summon up	同根：knobbed  有节的；有圆头的；knobbly  有节的；多疙瘩的；流行的；棘手的（等于knobby）；knobby  多节的；多瘤的；多疙瘩的
advisable	/ədˈvaɪzəbl/	adj.  可取的； 适当的	Regular medical check-ups are advisable.	定期检查身体是明智的。	同义：suitable	同根：advisability  明智；可劝性；适当
overcome	/,ovɚˈkʌm/	vt.  战胜， 克服； 压倒， 使受不了	Australia overcame the Netherlands 2-1.	澳大利亚队2比1战胜了荷兰队。	同义：exceed, rise above	同根：overcomer  得胜者
cabin	/ˈkæbɪn/	n.  小屋； 船舱， 机舱	a log cabin	原木小屋	同义：shed	
recite	/rɪˈsaɪt/	v.  背诵， 朗诵； 列举， 一一说出	She recited a poem that she had learnt at school.	她背诵了一首学校里学的诗。	同义：repeat, say over	同根：recitative  吟诵的；背诵的；叙述的；recital  朗诵，吟诵；独奏会；背诵；独唱会；recitation  背诵；朗诵；详述；背诵的诗
oppress	/əˈprɛs/	vt.  压迫， 压制； 使沉重， 使烦恼	native tribes oppressed by the authorities	受到当局压迫的土著部落	同义：lie on	同根：oppressive  压迫的；沉重的；压制性的；难以忍受的；oppressively  压迫地；沉重地；oppression  压抑；镇压；压迫手段；沉闷；苦恼
current	/kɝ​ənt/	adj. 当前的，通用的；流行的，流传的 n.  潮流； 电流； 趋势， 倾向	the current President	现任总统	同义：recent, tendency	同根：currently  当前；一般地
heel	/hil/	n.  脚后跟， 踵； 后跟	black boots with high heels	有高跟的黑靴子	同义：careen	
gloom	/ɡlum/	n.  昏暗， 阴暗； 忧郁， 沮丧	He peered into the gathering (= increasing ) gloom.	他在渐深的暮色中眺望远方。	同义：doldrums, shadow, cloud	同根：gloomy  黑暗的；沮丧的；阴郁的；gloomily  沮丧地；黑暗地；阴沈地；gloominess  黑暗；沮丧
adore	/əˈdɔr/	vt.  崇拜， 敬慕； 爱慕， 热爱； 非常喜欢	Betty adores her grandchildren.	贝蒂非常宠爱孙辈。	同义：enjoy, sweetheart	同根：adorable  可爱的；可敬重的，值得崇拜的；adoring  崇拜的；敬慕的；adorably  美妙地；可崇敬地；可爱地
persist	/pɚˈsɪst/	vi.  坚持， 持续	‘I don’t think it’s right,’ John persisted.	“我认为那不对。”约翰坚持说道。	同义：stay, iterate	同根：persistent  固执的，坚持的；持久稳固的；persistently  坚持地；固执地；perseverance  坚持不懈；不屈不挠
caution	/ˈkɔʃən/	n. 小心，谨慎；注意，警告 vt.  警告， 劝…小心	The physician must exercise caution when prescribing antidepressants.	医师在开抗抑郁药处方时必须谨慎。	同义：warning, alarm	同根：cautious  谨慎的；十分小心的；cautionary  警告的；劝诫的；cautiously  慎重地，谨慎地
offensive	/əˈfɛnsɪv/	adj. 冒犯的，无礼的，使人不快的；进攻的，攻击性的 n.  进攻， 攻势	I found her remarks deeply offensive.	我觉得她的话令人非常恼火。	同义：evil, attack	同根：offending  不愉快的；厌恶的；offenseless  无攻击力的；不惹人的；offensively  冒犯地；讨厌地
texture	/ˈtɛkstʃɚ/	n.  质地； 结构	a designer who experiments with different colours and textures	尝试不同色彩和材质的设计师	同义：essence	同根：textured  有织纹的；手摸时有感觉的；具有特定结构的；特征显著的；textured  使具有某种结构（texture的过去分词）
closet	/ˈklɑzət/	adj. 私下的；隐蔽的 n. 橱，壁橱 vt.  把…引进密室会谈	a closet full of beautiful clothes	满是漂亮衣服的壁橱	同义：storage wall, secret	
speculate	/ˈspɛkjəˈlet/	v.  推测， 推断； 投机， 做投机买卖	She refused to speculate.	她拒绝猜测。	同义：guess, understand	同根：speculative  投机的；推测的；思索性的；speculation  投机；推测；思索；投机买卖；speculator  投机者；思索者
dismantle	/dɪsˈmæntl/	vt.  拆开， 拆卸	Chris dismantled the bike in five minutes.	克里斯五分钟内就把自行车拆掉了。	同义：recall	同根：dismantling  解散；（枪支）分解；dismantlement  拆卸；拆除的行动或状态；dismantling  拆除；废除（dismantle的ing形式）
monster	/ˈmɑnstɚ/	adj.  大的， 庞大的 n. 怪物；极其残酷的人；巨人，巨兽，巨大的东西	a monster cat	巨型猫	同义：giant, huge	同根：monstrous  巨大的；怪异的；荒谬的；畸形的
bud	/bʌd/	vi.  发芽， 萌芽 n. 花蕾，叶芽	Without love, the best in the bud before killing!	得不到的爱情，最好在萌芽之前扼杀！	同义：seed, put, germinate	同根：budding  萌芽的；发育期的；budless  无芽的；budding  发芽
confirm	/kənˈfɝm/	vt.  证实， 肯定； 确认； 批准	New evidence has confirmed the first witness’s story.	新的证据证实了第一个证人的说法。	同义：identify	同根：confirmed  确认的；保兑的；坚定的；惯常的；confirmatory  证实的；确定的；confirmable  可证实的；可确定的
bug	/bʌɡ/	n. 虫子；小病；故障，缺陷；窃听器 vt.  烦扰， 纠缠； 在…装窃听器	There’s a nasty bug going round (=  that a lot of people have caught  ) .	现在流行着一种很烦人的传染病。	同义：fault, eat, interfere	同根：buggy  多虫的；bugged  装有窃听器的；buggy  童车；双轮单座轻马车
prescient	/ˈprɛsɪənt/	adj.  预知的， 预见的	...an eerily prescient comedy about a populist multimillionaire political candidate.	...围绕一位身价数百万的民粹主义政治候选人的一部喜剧，其预见性近乎诡异。	同义：provident	同根：prescience  先见；预知
acquaint	/əˈkwent/	vt.  使认识， 使了解； 使熟悉	I need to acquaint myself with the new regulations.	我得熟悉一下新的规章制度。	同义：familiarize	同根：acquainted  熟识的；知晓的；有知识的；acquaintance  熟人；相识；了解；知道；acquaintanceship  认识；相识；交往关系
elastic	/ɪˈlæstɪk/	adj.  有弹性的； 灵活的 n. 松紧带	the horny elastic pad in a horse’s hoof	马蹄上粗硬而有弹性的肉掌	同义：flexible, band	同根：elasticized  经过弹性处理的；elasticity  弹性；弹力；灵活性；elastomer  [力] 弹性体，[高分子] 高弹体
consequent	/ˈkɑnsəkwənt/	adj.  作为结果的， 随之发生的	the rise in inflation and consequent fall in demand	通货膨胀的加剧和随之而来的需求下降	同义：outcome, resulting	同根：consequential  间接的；结果的；重要的；随之发生的；自傲的；consequently  因此；结果；所以；consequence  结果；重要性；推论
vast	/væst/	adj.  巨大的， 大量的； 浩瀚的	The refugees come across the border in vast numbers.	大量难民涌过边境。	同义：huge, voluminousness	同根：vastly  极大地；广大地；深远地；vastness  巨大；广大；广漠
intervene	/,ɪntɚˈvin/	vi.  干涉， 干预； 干扰， 阻挠	The situation calmed down when police intervened.	警察干预后，局势平静了下来。	同义：influence in	同根：intervening  介于中间的；intervention  介入；调停；妨碍；intervenor  介入者；干涉者
symbol	/ˈsɪmbl/	n.  象征； 符号， 标志	The symbol on the packet is a guarantee that the food has been produced organically.	包装盒上的这个标识保证这种食物是有机生产的。	同义：significant	同根：symbolic  象征的；符号的；使用符号的；symbolically  象征性地；象征意义地；symbolism  象征，象征主义；符号论；记号
ignite	/ɪɡˈnaɪt/	vi.  着火 vt. 点燃，引发	The bombs ignited a fire which destroyed some 60 houses.	炸弹引起了一场火灾，烧毁了大约六十间房屋。	同义：heat, burn	同根：ignitable  可着火的；可燃性的；ignition  点火，点燃；着火，燃烧；点火开关，点火装置；igniter  点火器；点火剂；发火器
commercial	/kəˈmɝʃəl/	adj.  商业的， 商务的； 商品化的， 商业性的	Our top priorities must be profit and commercial growth.	我们必须把利润和贸易增长作为我们的第一要务。	同义：merchant	同根：commercialized  商业化的；commercially  商业上；通商上；commerce  贸易，商业
revelation	/ˈrɛvəˈleʃən/	n.  被提示的真相， 新发现； 揭示， 透露， 显示	...the seemingly everlasting revelations about his private life.	…有关他私生活的似乎永无休止的披露。	同义：exposure	同根：revelatory  泄露的，启示的
available	/əˈveləbl/	adj.  现成可使用的， 通用的； 可取的； 联系的； 可得到的	Tickets are available from the box office.	售票处有票出售。	同义：valid	同根：availability  可用性；有效性；实用性；avail  效用，利益；avail  有用，有利
innumerable	/ɪˈnʊmərəbl/	adj.  无数的， 数不清的	She’s served on innumerable committees.	她在多个委员会担任委员。	同义：thousand	
confine	/kənˈfaɪn/	vt. 限制，使局限；使不外出，禁闭	Vaughan is confined to a wheelchair .	沃恩离不开轮椅。	同义：boundary, block	同根：confined  狭窄的；幽禁的；有限制的；在分娩中的；confining  受限的，限制的；狭窄的，偏狭的；拘束的；confinement  限制；监禁；分娩
quest	/kwɛst/	n.  寻找， 搜索； 追求	They journeyed to the distant Molucca islands in quest of spices.	他们远赴摩鹿加群岛寻找香料。	同义：pursuit, pursue / pursuit, explore	同根：quester  探求者；追求者
frequency	/ˈfrikwənsi/	n.  屡次， 次数， 频率； 经常发生	Side effects from prescribed drugs are being reported with increasing frequency (= more and more often ) .	处方药的副作用正越来越频繁地被报道出来。	同义：periodicity	同根：frequent  频繁的；时常发生的；惯常的；frequently  频繁地，经常地；时常，屡次；frequent  常到，常去；时常出入于
elicit	/ɪˈlɪsɪt/	vt.  诱出， 探出	My letters to her have elicited no response.	我写给她的信没有得到回应。	同义：premise	同根：elicitation  引出；诱出；抽出
relegate	/ˈrɛlɪɡet/	vt.  使降位， 使降级； 把…委托给	Might it not be better to relegate the king to a purely ceremonial function?	使该国王降级到一种纯粹礼仪性的职能难道不更好吗？	同义：put in	同根：relegation  贬谪；驱逐；移交；归属
trivial	/ˈtrɪvɪəl/	adj.  琐碎的， 不重要的	a trivial sum	一笔极小的金额	同义：small	同根：trivially  琐细地；平凡地；无能地；triviality  浅薄，轻浮；琐事；平凡；trivialize  使平凡；使琐碎
burial	/ˈbɛrɪəl/	n.  葬， 掩埋； 葬礼	The priest prepared the body for burial.	牧师为尸体做好了下葬的准备。	同义：interment, funerary	同根：buried  埋葬的；埋藏的；burying  埋葬的；burying  埋；埋葬
luggage	/ˈlʌɡɪdʒ/	n.  行李	They searched his luggage for illegal drugs.	他们搜查他的行李看是否藏有毒品。	同义：belonging	
drawback	/ˈdrɔbæk/	n.  缺点， 欠缺； 不利条件	It’s a great city – the only drawback is the weather.	这是座很不错的城市，唯一的不足就是天气。	同义：defect	
longevity	/lɔnˈdʒɛvəti/	n.  长寿， 寿命	The ancient Chinese claimed that garlic promoted longevity.	中国古人说蒜能延寿。	同义：age	
military	/ˈmɪlətɛri/	adj. 军事的；军用的 n.  军队， 武装力量	a military helicopter	军用直升机	同义：martial, force	同根：militarized  军事化的；军国主义化的；militarily  在军事上；从军事角度；以武力；以军事行动；militarism  军国主义；尚武精神，好战态度；职业军人的精神
dynamic	/daɪˈnæmɪk/	adj.  动力的， 动力学的； 动态的； 有活力的， 有生气的	dynamic and ambitious people	精力充沛且雄心勃勃的人	同义：vital, trends	同根：dynamical  动力学的（等于dynamic）；有生气的；有力的；dynamically  动态地；充满活力地；不断变化地；dynamics  动力学，力学
wardrobe	/ˈwɔrdˌrob/	n.  衣柜； 全部衣物	Can you hang these in the wardrobe, please?	请你把这些衣服挂到衣橱里去好吗？	同义：bureau	
reluctant	/rɪˈlʌktənt/	adj.  不情愿的， 勉强的	She gave a reluctant smile.	她勉强笑了笑。	同义：narrow	同根：reluctantly  不情愿地；嫌恶地；reluctance  [电磁] 磁阻；勉强；不情愿
conscientious	/ˈkɑnʃɪˈɛnʃəs/	adj.  认真的， 勤勤恳恳的	A conscientious teacher may feel inclined to take work home.	一个认真负责的教师可能会想着把工作带回家去做。	同义：serious	同根：conscienceless  不知廉耻的；没良心的；conscientiously  良心上；conscience  道德心，良心
passion	/ˈpæʃən/	n.  激情， 热情； 酷爱	The issue arouses strong passions .	那件事激起了人们强烈的情绪。	同义：flame	同根：passionate  热情的；热烈的，激昂的；易怒的；passionless  不热情的，冷淡的；冷静的；passionately  热情地；强烈地；激昂地
generate	/ˈdʒɛnəret/	vt.  发生， 引起； 生殖	Wind turbines generate electricity for the local community.	风力机为当地社区发电。	同义：go on	同根：generative  生殖的；生产的；有生殖力的；有生产力的；generational  一代的；生育的；generation  一代；产生；一代人；生殖
extreme	/ɪkˈstrim/	adj. 极度的；最后的 n.  极端， 过分	Extreme poverty still exists in many rural areas.	许多农村地区仍处于赤贫状态。	同义：ultra, terminal	同根：extremely  非常，极其；极端地；extremity  极端；绝境；非常手段；手足；extremist  极端主义者，过激分子
tuck	/tʌk/	vt. 把边塞到下面；把…夹入，把…藏入 n.  褶， 裥	He tried to tuck his flapping shirt inside his trousers.	他试图把飘动的衬衫塞进他的裤子里。	同义：curl up, food, pucker	同根：tucker  领布；打褶装置；打横褶的人；tucker  使…疲倦；使…衰弱
authoritative	/əˈθɔrətetɪv/	adj.  有权威性的， 可信的； 专断的， 命令式的	the most authoritative work on English surnames	有关英语姓氏的最权威著作	同义：magisterial	同根：authoritatively  权威地；命令式地；可信地；authority  权威；权力；当局
athlete	/ˈæθlit/	n.  运动员， 体育家	a professional athlete	一位专业运动员	同义：player	同根：athletic  运动的，运动员的；体格健壮的；athleticism  崇尚运动，竞技热；运动竞赛
upright	/ˈʌpraɪt/	adv.  挺直着， 竖立着 adj. 垂直的；正直的，诚实的	You imagine being on a bicycle or motorbike; you go around the corner, you lean into the corner, which remains perfectly upright in physics.	想象一下骑着自行车和摩托车走在拐弯处时，你朝着拐角处倾斜，这在物理上仍然保持了完全笔直。	同义：honest, verticalness	同根：uprightly  正直地；笔直地；诚实地；uprightness  正直，诚实；垂直
extract	/ˈɛkstrækt/	vt. 取出，抽出；采掘，提炼，榨取；获得，索取；摘录['3kstrækt] n.  摘录， 选段； 提出物， 精， 汁	You’ll have to have that tooth extracted.	你得把那颗牙拔掉。	同义：abstract, juice	同根：extractable  可抽出的，可榨出的；可推断出的；extractible  可提取的；可榨出的；可摘录的；extraction  取出；抽出；拔出；抽出物；出身
obscure	/əbˈskjʊr/	adj. 不著名的，不重要的；费解的，模糊不清的 vt.  使变糊， 掩盖	an obscure poet	名不见经传的诗人	同义：fuzzy, overcurtain	同根：obscurely  费解地，晦涩地；隐匿地；obscurity  朦胧；阴暗；晦涩；身份低微；不分明；obscureness  难解；模糊
dismay	/dɪsˈme/	n. 失望，气馁；惊恐 vt.  使失望， 使气馁； 使惊恐	The thought of leaving filled him with dismay .	想到要离开，他心里充满了忧伤。	同义：depression, depress	同根：dismayed  吃惊，惊愕；心慌；心中不快；dismayed  使…灰心；使…害怕（dismay的过去式及过去分词）
expend	/ɪkˈspɛnd/	vt.  花费， 消费； 消耗	Children expend a lot of energy and may need more high-energy food than adults.	孩子们耗能多，可能比成人需要更多高能量的食物。	同义：invested	同根：expendable  可消费的；排出的；不重复使用的；可牺牲的；expenditure  支出，花费；经费，消费额；expendable  消耗品
forge	/fɔrdʒ/	vt.  打制， 锻造； 伪造	Someone stole my credit card and forged my signature.	有人偷了我的信用卡，并假冒我的签名。	同义：furnace, trump up, doctor	同根：forged  锻的；锻造的；forging  锻造；锻件；伪造；forgery  伪造；伪造罪；伪造物
demonstrate	/ˈdɛmənˈstret/	vt.  说明， 论证； 表露	The study demonstrates the link between poverty and malnutrition.	这项研究证明了贫困与营养不良之间的联系。	同义：prove	同根：demonstrative  说明的；证明的；公开表露感情的；demonstrable  可论证的；显而易见的；demonstrably  可论证地；明确地
region	/ˈridʒən/	n.  地区， 地带， 区域； 范围， 幅度	efforts to bring peace to the region	给这个地区带来和平的努力	同义：area	同根：regional  地区的；局部的；整个地区的；regionally  地域性地，地方地；regionalism  地方主义；地区性；地区特征；行政区域划分
preview	/ˈpriˈvjʊ/	n.  预映， 预演； 预告	the press preview of the show (= when people who write for newspapers, television etc could see it )	该节目的媒体试映	同义：rehearse	
ingenious	/ɪnˈdʒinɪəs/	adj.  设计独特的， 别致的， 巧妙的； 灵巧的， 善于创造发明的	Many fish have ingenious ways of protecting their eggs from predators.	很多鱼都有绝妙的方法来保护它们产的卵不被捕食者吃掉。	同义：prepared	同根：ingeniously  贤明地；有才能地；ingenuity  心灵手巧，独创性；精巧；精巧的装置；ingeniousness  机敏（精巧；精致；有创造才能）
questionnaire	/ˌkwɛstʃənˈɛr/	n.  问卷， 征求意见表	Teachers will be asked to fill in a questionnaire.	教师们将被要求填写一份调查问卷。		
breakthrough	/ˈbrekˈθrʊ/	n.  突破， 突破性进展， 重要的新发现	The company looks poised to make a significant breakthrough in China.	该公司看上去稳将在中国实现一次重大突破。	同义：penetration	
snack	/snæk/	n.  快餐， 小吃， 点心	I grabbed a quick snack.	我赶紧吃了点零食。	同义：proportion, nosh	
yoke	/jok/	n. 牛轭；束缚，枷锁 vt.  结合， 联结	the yoke of tradition	传统的枷锁	同义：chain, couple, bond	同根：yoking  矿区的分界；配轭
destination	/,dɛstɪˈneʃən/	n.  目的地， 终点； 目标	Ellis Island has become one of America's most popular tourist destinations.	埃利斯岛已经成为美国最受欢迎的游览地之一。	同义：goal	同根：destine  注定；命定；预定
throne	/θron/	n.  御座， 宝座； 王位， 王权	He is next in line to the throne (= will become king when the present ruler dies ) .	他是第一王位继承人。	同义：emperor	
privacy	/ˈpraɪvəsi/	n.  个人自由； 隐私， 私生活， 私事	each individual’s right to privacy	每个人的隐私权	同义：secret	同根：privately  私下地；秘密地
reciprocal	/rɪˈsɪprəkl/	adj.  相互的； 互惠的	He spoke of the necessity for a reciprocal relationship that would be useful for all sides.	他谈及需要建立对各方都有益的互惠关系。	同义：mutual	同根：reciprocally  相互地；相反地；互惠地
vertical	/ˈvɝtɪkl/	adj.  垂直的， 竖式的	a vertical line	垂直线	同义：standing, perpendicular plane	同根：vertically  垂直地；vertex  顶点；[昆] 头顶；[天] 天顶；verticalness  垂直
inventory	/ˈɪnvəntɔri/	n.  详细目录， 存货清单	...one inventory of twelve sails for each yacht.	…为每艘游艇配备12张帆的存货。	同义：goods in stock	
vivid	/ˈvɪvɪd/	adj.  鲜艳的； 生动的， 栩栩如生的	I’ve got vivid memories of that summer.	我对那年夏天记忆犹新。	同义：telling	同根：vividly  生动地；强烈地；vividness  生动；活泼；明亮；vivify  使生动；使活跃；给与生气
